restaurant_id,restaurant_type,restaurant_name,restaurant_address,coordinates_lat,coordinates_long,restaurant_rating,restaurant_reviews,restaurant_zip
SNhDVaf_n7VDZcfry8mYdA,Chinese,The Bao,'13 St Marks Pl',40.72939,-73.9889199,3.5,1043,10003
mDajKjZjRN4tVGEJFOgF9w,Chinese,Wok 88,'1570 3rd Ave',40.78042,-73.95322,3.5,272,10128
Ece_DRuD1yQjRPJBAebRpw,Chinese,Kung Fu Little Steamed Buns Ramen,'146 E 55th St',40.7592514705491,-73.9694294705987,3.5,293,10022
VDbMrjBq-XAKZTS_cgB9_A,Chinese,Asian 59,'207 E 59th St',40.76153,-73.96595,3.5,73,10022
TBW3arqP85VbGqOlQ3PM1Q,Chinese,West Side Wok,'691 Amsterdam Ave',40.79235,-73.97139,5.0,1,10025
Vzx-7-jSEBz2g8NuGVhHvQ,Chinese,Philippe By Philippe Chow,'33 E 60th St',40.76409,-73.97039,3.5,661,10065
bcqTacyE-0XDaZYG_xbTBQ,Chinese,The Tang - East Village,'120 1st Ave',40.72703,-73.98539,4.0,333,10009
9-vKFnUby_6-pR6UJxjzMw,Chinese,Sun Hing Lung Co,'58 Henry St',40.71275,-73.99508,4.5,177,10002
Va_mnsEvBghHXvc7uZIWJQ,Chinese,Spice Symphony,'182 Lexington Ave',40.744722,-73.981202,4.0,575,10016
Lbs8QBRN1U7IYBo5Mcv-RQ,Chinese,88 Lan Zhou Handmade Noodle,'40 Bowery St',40.7155,-73.99675,4.0,1750,10013
M-odQWSEfsR2mVEw7nKG-g,Chinese,Nyonya,'199 Grand St',40.7190148,-73.9968228,4.0,2022,10013
obIX3q93sNKq9VcbbRIfTw,Chinese,Xiang Xiang Noodle 乡香麵,'110-112 E 23rd St',40.73982,-73.98587,4.0,75,10010
X4hEgOBOLTYFhlWO-gAFxQ,Chinese,Tipsy Shanghai,'228 Thompson St',40.72929,-73.99882,4.0,134,10012
Sj2StOWkhHIPE6_sS5RMCQ,Chinese,Evergreen On 38,'10 E 38th St',40.75041,-73.98199,3.5,235,10016
8FJ8XVa-duF8rPeyfscUPg,Chinese,Auntie Guan's Kitchen,'219 E 23rd St',40.73852,-73.98201,3.5,128,10011
XiIBASyS65DX3E_staW0JQ,Chinese,Xi'an Famous Foods,'2675 Broadway',40.79847,-73.96934,4.0,374,10025
RoXFN-T1s6moM5smbY_5Gw,Chinese,Mee Noodle Shop,'795 9th Ave',40.7653751,-73.9879042,3.0,493,10019
ePVlFbTzdVQFWie__kdplg,Chinese,Main Noodle House,'1011 6th Ave',40.752143,-73.986396,3.5,392,10018
hh0W5CPtx2MoyQGb1kAEEA,Chinese,Chop Shop II,'41 W 24th St',40.74324,-73.99123,3.5,211,10010
8ig0yf0003DAp4YOGTlbVg,Chinese,Spicy Village,'68 Forsyth St',40.71695,-73.99327,4.0,623,10002
43r4ynjeIZeQI1w7SWARuQ,Chinese,Topaz Noodle Bar,'129 W 56th St',40.7644424438477,-73.9789733886719,4.0,606,10019
I39S72G5LG9uyDz2cNWJcw,Chinese,Mr Bing,'152 W 28th St',40.74688,-73.99275,3.5,26,10001
Up2LI3M1Uz3qJncRo0WgVw,Chinese,Pho Shop,'141 W 72nd St',40.7782,-73.980202,4.5,13,10023
nAcVK-Y1_ojsRF_04o-x-A,Chinese,Yin Ji Chang Fen Rice Roll,'91 Bayard St',40.71583,-73.999336,4.0,17,10013
Qwd4Tv-CqgO2Yl9zZgkKOQ,Chinese,Shun Lee Palace,'155 E 55th St',40.75945,-73.96907,3.0,298,10022
8Oo2AtQEPDfxIOnA8wfXoQ,Chinese,886,'26 Saint Marks Pl',40.72877,-73.98873,4.0,286,10003
WIj12zDqIbBucW1hXYhrew,Chinese,King's Kitchen,'92 E Broadway',40.71399,-73.99367,4.0,245,10002
NZb6ILmE0p4gQ5harzrAvA,Chinese,DaDong New York,'3 Bryant Park',40.75475,-73.98501,3.0,557,10036
Qn-qGoIkj-9uApdxb_VTeA,Chinese,La Vie en Szechuan,'14 E 33rd St',40.7473584983999,-73.9843980932541,3.0,423,10016
53lgp8fFEuK3Yo7yeXc89A,Chinese,Tim Ho Wan Hell's Kitchen,'610 9th Ave',40.75935,-73.99175,3.5,289,10036
UNyGz06_7RendbswIyNYtA,Chinese,Shu Han Ju,'465 6th Ave',40.73558,-73.99843,3.5,158,10011
Pr-q47vsmM4aoc2t_Sfk8w,Chinese,Momofuku Noodle Bar,'10 Columbus Cir',40.76847,-73.983092,4.0,216,10019
NmJ2xtfZrscfWB_a5wEbXQ,Chinese,Home's Kitchen Chinese Restaurant,'22 E 21st St',40.73944,-73.98913,3.5,182,10010
E1QQuFMX7DAEt8jV4attkA,Chinese,Taste Good,'18 W 25th St',40.7433836718734,-73.9901636441803,3.5,95,10010
97q5nUQTuBo_h00XCxna2A,Chinese,Tasty Hand-Pulled Noodles,'1 Doyers St',40.7142,-73.99787,4.0,1554,10013
v2dtG37r1ThqtfEfiFsAUg,Chinese,Shanghai Mong,'30 W 32nd St',40.7476119995117,-73.9871597290039,3.0,495,10001
iSjPBJRiWqrgxW7ZM3CGig,Chinese,Birds of a Feather,'191 Grand St',40.71442,-73.960441,4.0,289,11211
3Rah-cvFk79duFQ83voQ5A,Chinese,99 Favor Taste,'37 St Marks Pl',40.728833,-73.988094,4.0,542,10003
5TnBfeoBpxPPwIXMGBMasg,Chinese,New Double Dragon,'37 1st Ave',40.7242,-73.98801,4.0,76,10003
wobICp6lQP7Y6dfnJ_4Ujw,Chinese,Shun Lee West & Cafe,'43 W 65th St',40.7727826,-73.9811626,3.0,467,10023
